timestamp,symbol,whale_transfers,large_tx_count,exchange_flows,active_addresses
1754591471213,"ADA",4,22,89,4465
1754587871213,"ADA",5,28,113,5673
1754584271213,"ADA",5,25,103,5173
1754580671213,"ADA",4,22,91,4554
1754577071213,"ADA",4,24,98,4915
1754573471213,"ADA",5,25,100,5036
1754569871213,"ADA",3,19,76,3817
1754566271213,"ADA",4,24,96,4802
1754562671213,"ADA",4,22,88,4408
1754559071213,"ADA",3,19,78,3934
1754555471213,"ADA",5,28,114,5732
1754551871213,"ADA",5,28,112,5630
1754548271213,"ADA",4,24,97,4856
1754544671213,"ADA",4,20,80,4029
1754541071213,"ADA",4,22,90,4509
1754537471213,"ADA",4,23,93,4668
1754533871213,"ADA",4,22,90,4526
1754530271213,"ADA",4,23,94,4739
1754526671213,"ADA",6,31,124,6226
1754523071213,"ADA",6,31,124,6235
1754519471213,"ADA",3,19,76,3810
1754515871213,"ADA",4,20,83,4164
1754512271213,"ADA",3,19,78,3910
1754508671213,"ADA",3,18,75,3797
1754505071213,"ADA",4,21,87,4362
1754501471213,"ADA",4,21,87,4379
1754497871213,"ADA",5,28,112,5635
1754494271213,"ADA",5,29,118,5939
1754490671213,"ADA",6,31,124,6242
1754487071213,"ADA",4,22,89,4459
1754483471213,"ADA",4,21,87,4363
1754479871213,"ADA",4,23,94,4744
1754476271213,"ADA",5,26,107,5373
1754472671213,"ADA",5,29,116,5819
1754469071213,"ADA",5,26,104,5215
1754465471213,"ADA",5,29,117,5883
1754461871213,"ADA",6,31,124,6204
1754458271213,"ADA",5,28,112,5627
1754454671213,"ADA",4,22,88,4405
1754451071213,"ADA",5,26,105,5267
1754447471213,"ADA",3,19,79,3972
1754443871213,"ADA",5,25,103,5168
1754440271213,"ADA",5,28,114,5748
1754436671213,"ADA",5,25,101,5065
1754433071213,"ADA",5,27,110,5502
1754429471213,"ADA",5,28,113,5657
1754425871213,"ADA",3,19,76,3830
1754422271213,"ADA",5,27,109,5493
1754418671213,"ADA",5,25,101,5080
1754415071213,"ADA",5,28,114,5728
1754411471213,"ADA",5,25,100,5003
1754407871213,"ADA",6,30,120,6024
1754404271213,"ADA",4,23,94,4744
1754400671213,"ADA",5,27,109,5453
1754397071213,"ADA",5,29,116,5849
1754393471213,"ADA",5,26,104,5236
1754389871213,"ADA",3,19,76,3825
1754386271213,"ADA",4,22,88,4405
1754382671213,"ADA",4,22,88,4432
1754379071213,"ADA",6,30,121,6074
1754375471213,"ADA",5,25,100,5005
1754371871213,"ADA",5,25,102,5147
1754368271213,"ADA",4,23,93,4690
1754364671213,"ADA",4,23,92,4602
1754361071213,"ADA",4,23,94,4732
1754357471213,"ADA",6,30,123,6151
1754353871213,"ADA",5,29,117,5861
1754350271213,"ADA",4,20,81,4078
1754346671213,"ADA",5,29,116,5836
1754343071213,"ADA",5,27,110,5514
1754339471213,"ADA",3,19,77,3890
1754335871213,"ADA",4,20,81,4059
1754332271213,"ADA",4,23,94,4716
1754328671213,"ADA",6,31,124,6206
1754325071213,"ADA",4,21,87,4378
1754321471213,"ADA",5,27,110,5545
1754317871213,"ADA",5,28,112,5607
1754314271213,"ADA",5,26,107,5359
1754310671213,"ADA",4,21,86,4303
1754307071213,"ADA",4,21,84,4238
1754303471213,"ADA",6,30,122,6114
1754299871213,"ADA",4,20,81,4078
1754296271213,"ADA",5,26,105,5261
1754292671213,"ADA",4,21,84,4245
1754289071213,"ADA",4,22,89,4484
1754285471213,"ADA",5,29,119,5974
1754281871213,"ADA",5,26,105,5270
1754278271213,"ADA",5,26,106,5324
1754274671213,"ADA",5,28,114,5728
1754271071213,"ADA",3,19,78,3938
1754267471213,"ADA",6,31,124,6209
1754263871213,"ADA",4,24,96,4842
1754260271213,"ADA",4,24,99,4965
1754256671213,"ADA",4,20,82,4120
1754253071213,"ADA",4,22,91,4582
1754249471213,"ADA",5,29,117,5867
1754245871213,"ADA",6,30,120,6020
1754242271213,"ADA",5,27,111,5580
1754238671213,"ADA",5,27,109,5454
1754235071213,"ADA",3,19,77,3867
1754231471213,"ADA",5,27,111,5586
1754227871213,"ADA",4,24,99,4996
1754224271213,"ADA",4,21,85,4296
1754220671213,"ADA",4,21,87,4367
1754217071213,"ADA",5,25,101,5085
1754213471213,"ADA",4,20,82,4109
1754209871213,"ADA",4,23,92,4649
1754206271213,"ADA",4,21,86,4333
1754202671213,"ADA",5,27,108,5414
1754199071213,"ADA",5,26,104,5228
1754195471213,"ADA",5,29,119,5995
1754191871213,"ADA",4,21,86,4305
1754188271213,"ADA",3,18,75,3793
1754184671213,"ADA",5,29,117,5888
1754181071213,"ADA",5,28,113,5652
1754177471213,"ADA",4,23,92,4616
1754173871213,"ADA",5,29,117,5895
1754170271213,"ADA",5,29,116,5847
1754166671213,"ADA",4,21,84,4222
1754163071213,"ADA",5,26,107,5363
1754159471213,"ADA",5,26,107,5379
1754155871213,"ADA",4,22,90,4536
1754152271213,"ADA",5,28,113,5694
1754148671213,"ADA",3,19,78,3942
1754145071213,"ADA",5,28,112,5644
1754141471213,"ADA",4,20,82,4116
1754137871213,"ADA",4,24,96,4801
1754134271213,"ADA",5,25,102,5106
1754130671213,"ADA",4,22,88,4400
1754127071213,"ADA",4,20,81,4054
1754123471213,"ADA",4,23,94,4719
1754119871213,"ADA",4,20,83,4199
1754116271213,"ADA",5,27,108,5413
1754112671213,"ADA",4,21,87,4359
1754109071213,"ADA",4,21,84,4227
1754105471213,"ADA",3,18,75,3756
1754101871213,"ADA",5,29,117,5861
1754098271213,"ADA",4,23,92,4636
1754094671213,"ADA",5,25,102,5142
1754091071213,"ADA",4,23,92,4623
1754087471213,"ADA",4,23,93,4696
1754083871213,"ADA",4,21,84,4246
1754080271213,"ADA",3,19,78,3917
1754076671213,"ADA",4,21,87,4395
1754073071213,"ADA",4,22,88,4419
1754069471213,"ADA",4,23,95,4751
1754065871213,"ADA",5,29,118,5910
1754062271213,"ADA",5,28,115,5798
1754058671213,"ADA",5,25,102,5115
1754055071213,"ADA",4,24,99,4959
1754051471213,"ADA",4,23,93,4665
1754047871213,"ADA",4,21,87,4376
1754044271213,"ADA",5,26,104,5231
1754040671213,"ADA",4,23,95,4753
1754037071213,"ADA",5,26,104,5226
1754033471213,"ADA",4,24,99,4957
1754029871213,"ADA",5,27,108,5414
1754026271213,"ADA",5,26,105,5288
1754022671213,"ADA",6,30,121,6062
1754019071213,"ADA",4,22,89,4466
1754015471213,"ADA",5,27,109,5490
1754011871213,"ADA",5,25,101,5090
1754008271213,"ADA",4,22,88,4429
1754004671213,"ADA",5,26,106,5321
1754001071213,"ADA",5,26,106,5347
1753997471213,"ADA",6,30,123,6166
1753993871213,"ADA",4,24,97,4859
1753990271213,"ADA",4,23,92,4643
1753986671213,"ADA",3,19,76,3848
1753983071213,"ADA",4,22,89,4493
1753979471213,"ADA",4,21,84,4231
1753975871213,"ADA",6,30,120,6036
1753972271213,"ADA",5,27,111,5561
1753968671213,"ADA",4,21,84,4240
1753965071213,"ADA",3,19,79,3951
1753961471213,"ADA",5,27,110,5537
1753957871213,"ADA",4,22,89,4487
1753954271213,"ADA",4,24,97,4867
1753950671213,"ADA",4,21,87,4354
1753947071213,"ADA",5,25,100,5018
1753943471213,"ADA",4,20,81,4070
1753939871213,"ADA",4,20,82,4133
1753936271213,"ADA",5,26,107,5354
1753932671213,"ADA",6,30,122,6143
1753929071213,"ADA",5,26,105,5286
1753925471213,"ADA",4,24,97,4873
1753921871213,"ADA",4,24,97,4850
1753918271213,"ADA",5,25,101,5085
1753914671213,"ADA",5,26,107,5385
1753911071213,"ADA",4,22,88,4431
1753907471213,"ADA",4,24,98,4910
1753903871213,"ADA",4,21,86,4310
1753900271213,"ADA",4,21,86,4345
1753896671213,"ADA",5,29,116,5818
1753893071213,"ADA",3,19,76,3814
1753889471213,"ADA",4,24,97,4889
1753885871213,"ADA",4,23,94,4742
1753882271213,"ADA",5,28,115,5774
1753878671213,"ADA",5,27,109,5480
1753875071213,"ADA",5,29,117,5875
1753871471213,"ADA",5,25,101,5091
1753867871213,"ADA",5,27,108,5420
1753864271213,"ADA",5,29,119,5981
1753860671213,"ADA",4,21,86,4301
1753857071213,"ADA",4,24,97,4877
1753853471213,"ADA",6,30,123,6192
1753849871213,"ADA",5,27,108,5411
1753846271213,"ADA",5,29,119,5962
1753842671213,"ADA",3,19,77,3850
1753839071213,"ADA",5,25,100,5020
1753835471213,"ADA",4,24,99,4973
1753831871213,"ADA",5,29,117,5888
1753828271213,"ADA",5,25,102,5137
1753824671213,"ADA",3,19,77,3886
1753821071213,"ADA",4,22,91,4558
1753817471213,"ADA",5,29,119,5986
1753813871213,"ADA",4,20,82,4105
1753810271213,"ADA",4,21,84,4230
1753806671213,"ADA",4,24,97,4893
1753803071213,"ADA",4,21,84,4248
1753799471213,"ADA",6,30,123,6158
1753795871213,"ADA",4,24,99,4966
1753792271213,"ADA",5,28,112,5637
1753788671213,"ADA",5,29,116,5818
1753785071213,"ADA",4,21,84,4217
1753781471213,"ADA",5,29,119,5962
1753777871213,"ADA",6,30,120,6032
1753774271213,"ADA",5,25,100,5017
1753770671213,"ADA",5,27,109,5458
1753767071213,"ADA",5,28,113,5658
1753763471213,"ADA",4,23,92,4635
1753759871213,"ADA",6,30,121,6092
1753756271213,"ADA",5,28,113,5689
1753752671213,"ADA",5,26,106,5331
1753749071213,"ADA",6,30,120,6031
1753745471213,"ADA",4,24,99,4998
1753741871213,"ADA",3,19,78,3911
1753738271213,"ADA",4,24,98,4944
1753734671213,"ADA",5,26,107,5370
1753731071213,"ADA",4,21,85,4290
1753727471213,"ADA",4,23,94,4704
1753723871213,"ADA",5,29,116,5842
1753720271213,"ADA",5,26,107,5383
1753716671213,"ADA",4,22,91,4575
1753713071213,"ADA",5,25,103,5194
1753709471213,"ADA",3,19,76,3845
1753705871213,"ADA",4,21,86,4342
