timestamp,symbol,whale_transfers,large_tx_count,exchange_flows,active_addresses
1754591471213,"BTC",7,39,156,7823
1754587871213,"BTC",10,52,210,10540
1754584271213,"BTC",8,41,166,8300
1754580671213,"BTC",11,55,223,11172
1754577071213,"BTC",11,59,237,11860
1754573471213,"BTC",10,51,205,10266
1754569871213,"BTC",9,46,185,9268
1754566271213,"BTC",8,40,162,8124
1754562671213,"BTC",10,54,217,10888
1754559071213,"BTC",7,38,155,7793
1754555471213,"BTC",9,45,182,9124
1754551871213,"BTC",9,49,197,9850
1754548271213,"BTC",8,43,172,8641
1754544671213,"BTC",10,50,201,10056
1754541071213,"BTC",8,43,175,8795
1754537471213,"BTC",10,53,213,10670
1754533871213,"BTC",9,47,190,9522
1754530271213,"BTC",7,38,152,7643
1754526671213,"BTC",8,41,165,8264
1754523071213,"BTC",9,49,197,9890
1754519471213,"BTC",9,48,194,9731
1754515871213,"BTC",8,44,178,8941
1754512271213,"BTC",11,57,230,11500
1754508671213,"BTC",9,46,184,9249
1754505071213,"BTC",7,39,156,7806
1754501471213,"BTC",9,45,181,9068
1754497871213,"BTC",8,43,175,8790
1754494271213,"BTC",10,54,219,10950
1754490671213,"BTC",10,51,204,10216
1754487071213,"BTC",11,56,226,11339
1754483471213,"BTC",12,60,240,12029
1754479871213,"BTC",9,48,192,9601
1754476271213,"BTC",11,56,227,11391
1754472671213,"BTC",11,55,223,11185
1754469071213,"BTC",10,50,203,10166
1754465471213,"BTC",10,52,211,10576
1754461871213,"BTC",7,39,158,7907
1754458271213,"BTC",7,39,156,7836
1754454671213,"BTC",9,49,198,9946
1754451071213,"BTC",10,54,219,10983
1754447471213,"BTC",11,59,238,11946
1754443871213,"BTC",7,39,156,7810
1754440271213,"BTC",9,49,198,9915
1754436671213,"BTC",10,51,207,10372
1754433071213,"BTC",8,41,164,8242
1754429471213,"BTC",11,55,221,11086
1754425871213,"BTC",9,46,187,9393
1754422271213,"BTC",10,51,206,10317
1754418671213,"BTC",11,55,222,11136
1754415071213,"BTC",11,56,224,11232
1754411471213,"BTC",12,60,241,12097
1754407871213,"BTC",9,46,187,9369
1754404271213,"BTC",9,47,191,9594
1754400671213,"BTC",7,39,157,7885
1754397071213,"BTC",9,47,191,9551
1754393471213,"BTC",8,44,176,8845
1754389871213,"BTC",8,43,173,8690
1754386271213,"BTC",10,54,218,10918
1754382671213,"BTC",7,37,150,7529
1754379071213,"BTC",8,44,177,8894
1754375471213,"BTC",9,46,184,9233
1754371871213,"BTC",10,50,201,10083
1754368271213,"BTC",9,49,198,9934
1754364671213,"BTC",8,43,175,8783
1754361071213,"BTC",12,61,244,12239
1754357471213,"BTC",9,45,180,9046
1754353871213,"BTC",11,58,233,11694
1754350271213,"BTC",12,61,245,12254
1754346671213,"BTC",11,58,233,11661
1754343071213,"BTC",8,42,171,8588
1754339471213,"BTC",11,57,229,11475
1754335871213,"BTC",8,41,164,8200
1754332271213,"BTC",9,45,181,9091
1754328671213,"BTC",8,42,169,8471
1754325071213,"BTC",9,46,186,9326
1754321471213,"BTC",7,39,157,7856
1754317871213,"BTC",9,47,189,9490
1754314271213,"BTC",10,50,200,10032
1754310671213,"BTC",11,59,237,11876
1754307071213,"BTC",10,50,200,10014
1754303471213,"BTC",8,44,176,8826
1754299871213,"BTC",12,60,241,12050
1754296271213,"BTC",12,61,244,12240
1754292671213,"BTC",9,47,191,9556
1754289071213,"BTC",9,48,192,9638
1754285471213,"BTC",11,56,225,11276
1754281871213,"BTC",8,40,162,8132
1754278271213,"BTC",7,38,153,7699
1754274671213,"BTC",11,58,232,11607
1754271071213,"BTC",10,53,215,10757
1754267471213,"BTC",9,48,194,9730
1754263871213,"BTC",11,59,239,11993
1754260271213,"BTC",12,60,242,12138
1754256671213,"BTC",11,55,220,11011
1754253071213,"BTC",10,54,219,10950
1754249471213,"BTC",9,48,194,9719
1754245871213,"BTC",10,53,212,10611
1754242271213,"BTC",9,48,195,9765
1754238671213,"BTC",12,61,244,12209
1754235071213,"BTC",11,59,239,11954
1754231471213,"BTC",9,46,184,9240
1754227871213,"BTC",8,40,160,8033
1754224271213,"BTC",9,49,198,9902
1754220671213,"BTC",11,55,221,11088
1754217071213,"BTC",10,54,217,10863
1754213471213,"BTC",7,39,157,7866
1754209871213,"BTC",11,57,231,11567
1754206271213,"BTC",10,51,207,10387
1754202671213,"BTC",7,38,153,7675
1754199071213,"BTC",11,56,225,11282
1754195471213,"BTC",11,55,221,11083
1754191871213,"BTC",8,41,166,8334
1754188271213,"BTC",11,57,231,11565
1754184671213,"BTC",9,47,191,9556
1754181071213,"BTC",8,43,175,8772
1754177471213,"BTC",10,54,218,10942
1754173871213,"BTC",7,39,156,7805
1754170271213,"BTC",10,50,202,10132
1754166671213,"BTC",8,40,161,8070
1754163071213,"BTC",9,49,198,9909
1754159471213,"BTC",10,51,206,10322
1754155871213,"BTC",9,45,181,9065
1754152271213,"BTC",10,52,210,10545
1754148671213,"BTC",8,41,164,8237
1754145071213,"BTC",8,42,171,8582
1754141471213,"BTC",8,41,165,8262
1754137871213,"BTC",7,38,152,7634
1754134271213,"BTC",8,44,179,8984
1754130671213,"BTC",9,48,195,9780
1754127071213,"BTC",8,42,171,8593
1754123471213,"BTC",9,47,190,9526
1754119871213,"BTC",10,50,203,10179
1754116271213,"BTC",7,38,155,7774
1754112671213,"BTC",7,38,152,7633
1754109071213,"BTC",12,60,243,12187
1754105471213,"BTC",7,39,156,7821
1754101871213,"BTC",9,45,180,9006
1754098271213,"BTC",10,52,209,10472
1754094671213,"BTC",10,52,210,10540
1754091071213,"BTC",9,48,194,9736
1754087471213,"BTC",9,49,196,9844
1754083871213,"BTC",11,58,233,11669
1754080271213,"BTC",12,61,246,12327
1754076671213,"BTC",12,61,244,12239
1754073071213,"BTC",9,49,199,9992
1754069471213,"BTC",8,43,175,8766
1754065871213,"BTC",11,59,238,11911
1754062271213,"BTC",10,54,217,10880
1754058671213,"BTC",9,49,197,9875
1754055071213,"BTC",8,44,179,8992
1754051471213,"BTC",9,45,181,9055
1754047871213,"BTC",12,60,240,12049
1754044271213,"BTC",11,55,223,11198
1754040671213,"BTC",9,49,198,9915
1754037071213,"BTC",11,56,225,11289
1754033471213,"BTC",9,46,187,9374
1754029871213,"BTC",9,46,186,9314
1754026271213,"BTC",7,39,159,7964
1754022671213,"BTC",7,37,151,7559
1754019071213,"BTC",10,51,207,10350
1754015471213,"BTC",9,48,192,9604
1754011871213,"BTC",10,50,201,10051
1754008271213,"BTC",8,40,163,8175
1754004671213,"BTC",8,44,179,8970
1754001071213,"BTC",12,62,249,12467
1753997471213,"BTC",9,45,181,9099
1753993871213,"BTC",11,56,224,11201
1753990271213,"BTC",11,59,237,11852
1753986671213,"BTC",8,44,176,8800
1753983071213,"BTC",11,57,228,11412
1753979471213,"BTC",9,47,190,9506
1753975871213,"BTC",9,46,185,9263
1753972271213,"BTC",9,49,199,9978
1753968671213,"BTC",11,55,220,11037
1753965071213,"BTC",9,46,185,9257
1753961471213,"BTC",9,49,198,9934
1753957871213,"BTC",10,53,214,10728
1753954271213,"BTC",10,50,203,10162
1753950671213,"BTC",8,41,167,8363
1753947071213,"BTC",10,54,217,10855
1753943471213,"BTC",9,48,194,9701
1753939871213,"BTC",11,59,238,11917
1753936271213,"BTC",12,61,245,12250
1753932671213,"BTC",7,37,150,7514
1753929071213,"BTC",9,46,184,9248
