timestamp,symbol,whale_transfers,large_tx_count,exchange_flows,active_addresses
1754591471213,"DOT",4,22,91,4566
1754587871213,"DOT",5,28,113,5685
1754584271213,"DOT",4,22,88,4406
1754580671213,"DOT",5,25,103,5172
1754577071213,"DOT",5,25,101,5078
1754573471213,"DOT",4,22,91,4575
1754569871213,"DOT",4,22,89,4463
1754566271213,"DOT",4,21,85,4297
1754562671213,"DOT",3,19,76,3809
1754559071213,"DOT",4,22,89,4454
1754555471213,"DOT",5,27,109,5461
1754551871213,"DOT",6,30,120,6014
1754548271213,"DOT",5,25,103,5152
1754544671213,"DOT",6,30,121,6091
1754541071213,"DOT",5,25,100,5036
1754537471213,"DOT",5,26,105,5299
1754533871213,"DOT",4,20,82,4119
1754530271213,"DOT",5,29,119,5970
1754526671213,"DOT",5,27,111,5553
1754523071213,"DOT",4,23,92,4644
1754519471213,"DOT",5,27,109,5473
1754515871213,"DOT",5,29,118,5933
1754512271213,"DOT",5,25,102,5104
1754508671213,"DOT",5,27,109,5456
1754505071213,"DOT",3,19,78,3919
1754501471213,"DOT",3,18,75,3756
1754497871213,"DOT",5,29,116,5822
1754494271213,"DOT",5,26,104,5217
1754490671213,"DOT",4,22,91,4566
1754487071213,"DOT",4,23,92,4603
1754483471213,"DOT",5,26,105,5265
1754479871213,"DOT",4,21,86,4331
1754476271213,"DOT",4,20,82,4146
1754472671213,"DOT",4,24,99,4979
1754469071213,"DOT",5,29,116,5815
1754465471213,"DOT",5,26,107,5372
1754461871213,"DOT",5,25,101,5078
1754458271213,"DOT",5,29,119,5996
1754454671213,"DOT",5,28,113,5668
1754451071213,"DOT",5,26,107,5393
1754447471213,"DOT",5,29,119,5974
1754443871213,"DOT",4,20,80,4033
1754440271213,"DOT",6,30,122,6147
1754436671213,"DOT",5,28,112,5642
1754433071213,"DOT",4,23,94,4703
1754429471213,"DOT",6,30,120,6006
1754425871213,"DOT",5,28,114,5739
1754422271213,"DOT",5,25,103,5152
1754418671213,"DOT",6,30,121,6092
1754415071213,"DOT",4,22,90,4504
1754411471213,"DOT",5,29,119,5972
1754407871213,"DOT",5,26,107,5364
1754404271213,"DOT",4,24,99,4956
1754400671213,"DOT",3,19,78,3917
1754397071213,"DOT",5,27,110,5513
1754393471213,"DOT",3,19,78,3923
1754389871213,"DOT",4,21,84,4221
1754386271213,"DOT",5,28,113,5695
1754382671213,"DOT",4,21,86,4345
1754379071213,"DOT",5,29,119,5976
1754375471213,"DOT",5,29,119,5968
1754371871213,"DOT",5,27,110,5533
1754368271213,"DOT",5,29,116,5806
1754364671213,"DOT",4,23,93,4690
1754361071213,"DOT",5,28,113,5689
1754357471213,"DOT",5,27,108,5413
1754353871213,"DOT",6,30,120,6023
1754350271213,"DOT",4,23,93,4677
1754346671213,"DOT",6,30,123,6189
1754343071213,"DOT",6,31,124,6210
1754339471213,"DOT",3,19,77,3872
1754335871213,"DOT",4,23,95,4766
1754332271213,"DOT",4,20,81,4051
1754328671213,"DOT",4,24,97,4879
1754325071213,"DOT",5,29,116,5813
1754321471213,"DOT",5,29,117,5853
1754317871213,"DOT",5,25,102,5149
1754314271213,"DOT",4,21,86,4337
1754310671213,"DOT",5,29,119,5973
1754307071213,"DOT",4,22,91,4585
1754303471213,"DOT",3,19,78,3910
1754299871213,"DOT",5,27,108,5427
1754296271213,"DOT",5,25,103,5164
1754292671213,"DOT",6,30,120,6004
1754289071213,"DOT",5,26,105,5272
1754285471213,"DOT",3,19,76,3832
1754281871213,"DOT",5,27,111,5562
1754278271213,"DOT",4,22,90,4544
1754274671213,"DOT",5,26,104,5248
1754271071213,"DOT",5,25,100,5019
1754267471213,"DOT",6,30,120,6049
1754263871213,"DOT",4,20,83,4151
1754260271213,"DOT",5,29,119,5959
1754256671213,"DOT",4,20,83,4151
1754253071213,"DOT",5,26,106,5329
1754249471213,"DOT",6,31,124,6215
1754245871213,"DOT",5,27,110,5513
1754242271213,"DOT",4,22,88,4441
1754238671213,"DOT",4,24,96,4836
1754235071213,"DOT",4,21,84,4230
1754231471213,"DOT",4,21,86,4344
1754227871213,"DOT",4,20,80,4008
1754224271213,"DOT",4,23,93,4698
1754220671213,"DOT",3,19,76,3824
1754217071213,"DOT",5,26,105,5278
1754213471213,"DOT",5,25,100,5015
1754209871213,"DOT",4,21,85,4264
1754206271213,"DOT",5,27,108,5409
1754202671213,"DOT",4,21,87,4394
1754199071213,"DOT",5,28,113,5680
1754195471213,"DOT",3,19,79,3961
1754191871213,"DOT",5,27,109,5485
1754188271213,"DOT",3,19,78,3937
1754184671213,"DOT",3,18,75,3762
1754181071213,"DOT",5,28,113,5670
1754177471213,"DOT",5,25,101,5072
1754173871213,"DOT",5,29,119,5966
1754170271213,"DOT",6,30,123,6158
1754166671213,"DOT",4,24,96,4824
1754163071213,"DOT",4,22,91,4578
1754159471213,"DOT",5,29,116,5837
1754155871213,"DOT",5,25,103,5195
1754152271213,"DOT",4,20,83,4170
1754148671213,"DOT",6,30,120,6011
1754145071213,"DOT",4,23,92,4600
1754141471213,"DOT",5,26,106,5315
1754137871213,"DOT",4,20,81,4052
1754134271213,"DOT",5,29,118,5938
1754130671213,"DOT",4,22,90,4507
1754127071213,"DOT",5,29,117,5884
1754123471213,"DOT",3,19,76,3849
1754119871213,"DOT",5,26,105,5253
1754116271213,"DOT",5,28,113,5686
1754112671213,"DOT",5,29,118,5921
1754109071213,"DOT",5,29,116,5826
1754105471213,"DOT",4,20,81,4062
1754101871213,"DOT",5,25,102,5113
1754098271213,"DOT",5,25,100,5045
1754094671213,"DOT",4,22,90,4507
1754091071213,"DOT",4,24,97,4861
1754087471213,"DOT",4,21,87,4376
1754083871213,"DOT",4,24,97,4873
1754080271213,"DOT",3,19,79,3991
1754076671213,"DOT",5,25,100,5021
1754073071213,"DOT",5,27,111,5573
1754069471213,"DOT",4,23,92,4626
1754065871213,"DOT",5,27,110,5546
1754062271213,"DOT",5,26,105,5263
1754058671213,"DOT",4,23,92,4607
1754055071213,"DOT",4,23,92,4641
1754051471213,"DOT",4,21,84,4225
1754047871213,"DOT",5,29,118,5926
1754044271213,"DOT",4,23,92,4630
1754040671213,"DOT",6,31,124,6238
1754037071213,"DOT",5,26,107,5374
1754033471213,"DOT",5,29,119,5996
1754029871213,"DOT",4,20,81,4070
1754026271213,"DOT",3,19,76,3818
1754022671213,"DOT",4,20,83,4163
1754019071213,"DOT",3,18,75,3781
1754015471213,"DOT",5,25,100,5048
1754011871213,"DOT",5,26,104,5238
1754008271213,"DOT",5,28,112,5626
1754004671213,"DOT",4,20,80,4004
1754001071213,"DOT",4,21,86,4312
1753997471213,"DOT",4,20,81,4072
1753993871213,"DOT",4,22,89,4496
1753990271213,"DOT",5,28,112,5634
1753986671213,"DOT",4,20,82,4117
1753983071213,"DOT",5,29,119,5966
1753979471213,"DOT",5,29,119,5963
1753975871213,"DOT",4,22,91,4578
1753972271213,"DOT",4,24,96,4830
1753968671213,"DOT",4,21,87,4368
1753965071213,"DOT",4,23,92,4630
1753961471213,"DOT",5,28,112,5639
1753957871213,"DOT",3,19,76,3824
1753954271213,"DOT",4,21,84,4238
1753950671213,"DOT",4,21,86,4331
1753947071213,"DOT",5,25,103,5164
1753943471213,"DOT",5,28,112,5609
1753939871213,"DOT",5,28,114,5719
1753936271213,"DOT",5,26,104,5225
1753932671213,"DOT",4,22,90,4501
1753929071213,"DOT",3,19,76,3833
1753925471213,"DOT",5,26,107,5377
1753921871213,"DOT",5,25,100,5023
1753918271213,"DOT",4,22,89,4456
1753914671213,"DOT",4,23,95,4774
1753911071213,"DOT",6,31,124,6224
1753907471213,"DOT",4,22,91,4571
1753903871213,"DOT",5,26,104,5203
1753900271213,"DOT",4,20,81,4057
1753896671213,"DOT",4,22,88,4421
1753893071213,"DOT",5,28,115,5764
1753889471213,"DOT",5,25,101,5098
1753885871213,"DOT",5,26,106,5336
1753882271213,"DOT",4,20,81,4093
1753878671213,"DOT",6,30,121,6052
1753875071213,"DOT",5,28,114,5733
1753871471213,"DOT",6,30,123,6154
1753867871213,"DOT",5,28,112,5616
1753864271213,"DOT",5,26,107,5394
1753860671213,"DOT",5,28,113,5697
1753857071213,"DOT",3,19,79,3971
1753853471213,"DOT",4,21,86,4325
1753849871213,"DOT",5,28,115,5779
1753846271213,"DOT",5,29,116,5832
1753842671213,"DOT",3,18,75,3785
1753839071213,"DOT",4,22,90,4540
1753835471213,"DOT",3,19,78,3930
1753831871213,"DOT",4,24,99,4982
1753828271213,"DOT",4,23,94,4710
1753824671213,"DOT",4,24,99,4958
1753821071213,"DOT",5,27,111,5563
1753817471213,"DOT",5,28,114,5742
1753813871213,"DOT",4,22,89,4473
1753810271213,"DOT",5,28,112,5618
1753806671213,"DOT",4,20,81,4069
1753803071213,"DOT",4,23,93,4651
1753799471213,"DOT",4,21,85,4269
1753795871213,"DOT",5,25,103,5166
1753792271213,"DOT",4,22,90,4517
1753788671213,"DOT",4,20,83,4153
1753785071213,"DOT",6,30,122,6142
1753781471213,"DOT",5,26,105,5261
1753777871213,"DOT",4,23,93,4659
1753774271213,"DOT",5,27,109,5453
1753770671213,"DOT",4,23,95,4774
1753767071213,"DOT",4,24,99,4989
1753763471213,"DOT",6,30,121,6062
1753759871213,"DOT",4,21,85,4299
1753756271213,"DOT",3,19,76,3821
1753752671213,"DOT",4,22,90,4530
1753749071213,"DOT",5,29,119,5978
1753745471213,"DOT",4,23,95,4779
1753741871213,"DOT",5,27,108,5440
1753738271213,"DOT",4,23,93,4675
1753734671213,"DOT",5,29,118,5942
1753731071213,"DOT",6,30,122,6123
1753727471213,"DOT",5,27,109,5466
