timestamp,symbol,whale_transfers,large_tx_count,exchange_flows,active_addresses
1754591471213,"ETH",22,112,448,22442
1754587871213,"ETH",24,122,491,24574
1754584271213,"ETH",20,100,402,20104
1754580671213,"ETH",17,86,344,17245
1754577071213,"ETH",18,94,376,18835
1754573471213,"ETH",20,101,407,20398
1754569871213,"ETH",15,78,312,15601
1754566271213,"ETH",24,120,480,24005
1754562671213,"ETH",19,96,384,19240
1754559071213,"ETH",22,113,452,22632
1754555471213,"ETH",19,95,382,19147
1754551871213,"ETH",20,104,418,20900
1754548271213,"ETH",16,83,333,16664
1754544671213,"ETH",21,108,432,21623
1754541071213,"ETH",16,80,321,16079
1754537471213,"ETH",18,92,368,18432
1754533871213,"ETH",19,97,390,19532
1754530271213,"ETH",22,112,449,22481
1754526671213,"ETH",22,110,442,22149
1754523071213,"ETH",23,119,476,23833
1754519471213,"ETH",20,100,401,20058
1754515871213,"ETH",17,89,357,17889
1754512271213,"ETH",18,90,361,18083
1754508671213,"ETH",22,114,456,22824
1754505071213,"ETH",19,96,384,19238
1754501471213,"ETH",16,81,326,16346
1754497871213,"ETH",23,116,464,23204
1754494271213,"ETH",15,76,306,15317
1754490671213,"ETH",22,110,440,22024
1754487071213,"ETH",24,124,497,24875
1754483471213,"ETH",24,122,491,24551
1754479871213,"ETH",20,104,418,20948
1754476271213,"ETH",23,115,460,23034
1754472671213,"ETH",19,98,395,19761
1754469071213,"ETH",19,96,384,19241
1754465471213,"ETH",19,96,384,19235
1754461871213,"ETH",20,102,408,20418
1754458271213,"ETH",20,101,404,20218
1754454671213,"ETH",20,104,416,20839
1754451071213,"ETH",18,91,365,18259
1754447471213,"ETH",22,112,449,22456
1754443871213,"ETH",22,111,444,22221
1754440271213,"ETH",17,89,359,17987
1754436671213,"ETH",16,82,330,16547
1754433071213,"ETH",17,89,356,17827
1754429471213,"ETH",22,110,442,22140
1754425871213,"ETH",16,80,323,16167
1754422271213,"ETH",21,107,431,21583
1754418671213,"ETH",24,124,498,24922
1754415071213,"ETH",19,98,393,19651
1754411471213,"ETH",23,118,473,23676
1754407871213,"ETH",19,99,396,19811
1754404271213,"ETH",16,82,328,16426
1754400671213,"ETH",20,100,401,20085
1754397071213,"ETH",21,109,436,21826
1754393471213,"ETH",20,102,410,20516
1754389871213,"ETH",16,84,339,16971
1754386271213,"ETH",20,100,402,20119
1754382671213,"ETH",20,100,400,20035
1754379071213,"ETH",16,84,337,16865
1754375471213,"ETH",16,80,320,16020
1754371871213,"ETH",19,95,381,19099
1754368271213,"ETH",18,91,365,18260
1754364671213,"ETH",17,85,343,17199
1754361071213,"ETH",24,121,486,24314
1754357471213,"ETH",24,121,486,24310
1754353871213,"ETH",21,107,430,21534
1754350271213,"ETH",20,102,409,20456
1754346671213,"ETH",17,86,347,17395
1754343071213,"ETH",24,122,490,24512
1754339471213,"ETH",16,84,336,16806
1754335871213,"ETH",20,103,414,20703
1754332271213,"ETH",24,124,499,24955
1754328671213,"ETH",21,105,422,21116
1754325071213,"ETH",23,117,470,23528
1754321471213,"ETH",24,120,483,24197
1754317871213,"ETH",18,91,364,18244
1754314271213,"ETH",17,88,354,17731
1754310671213,"ETH",23,118,473,23655
1754307071213,"ETH",21,108,432,21645
1754303471213,"ETH",19,97,389,19489
1754299871213,"ETH",19,98,395,19770
1754296271213,"ETH",18,93,374,18747
1754292671213,"ETH",22,113,453,22656
1754289071213,"ETH",22,114,457,22878
1754285471213,"ETH",23,116,465,23292
1754281871213,"ETH",20,103,412,20647
1754278271213,"ETH",18,94,377,18887
1754274671213,"ETH",21,105,422,21108
1754271071213,"ETH",15,79,318,15926
1754267471213,"ETH",15,79,316,15822
1754263871213,"ETH",23,115,463,23178
1754260271213,"ETH",21,106,427,21358
1754256671213,"ETH",19,96,386,19349
1754253071213,"ETH",16,84,339,16958
1754249471213,"ETH",24,124,499,24991
1754245871213,"ETH",20,104,417,20854
1754242271213,"ETH",16,82,328,16447
1754238671213,"ETH",21,105,422,21102
1754235071213,"ETH",24,122,489,24464
1754231471213,"ETH",21,105,421,21086
1754227871213,"ETH",22,110,440,22002
1754224271213,"ETH",21,107,430,21530
1754220671213,"ETH",24,124,498,24934
1754217071213,"ETH",18,91,365,18273
1754213471213,"ETH",23,116,466,23325
1754209871213,"ETH",17,89,356,17830
1754206271213,"ETH",21,109,439,21992
1754202671213,"ETH",16,80,320,16038
1754199071213,"ETH",18,90,360,18038
1754195471213,"ETH",18,94,379,18959
1754191871213,"ETH",21,107,429,21499
1754188271213,"ETH",18,93,372,18600
1754184671213,"ETH",22,110,442,22137
1754181071213,"ETH",19,95,383,19188
1754177471213,"ETH",23,115,463,23192
