timestamp,symbol,whale_transfers,large_tx_count,exchange_flows,active_addresses
1754591471213,"SOL",4,20,80,4006
1754587871213,"SOL",5,28,112,5633
1754584271213,"SOL",5,25,101,5099
1754580671213,"SOL",4,21,85,4257
1754577071213,"SOL",4,23,94,4728
1754573471213,"SOL",3,19,79,3974
1754569871213,"SOL",5,26,105,5269
1754566271213,"SOL",4,23,92,4624
1754562671213,"SOL",5,28,113,5679
1754559071213,"SOL",5,29,117,5888
1754555471213,"SOL",4,23,92,4649
1754551871213,"SOL",5,27,109,5474
1754548271213,"SOL",5,27,111,5586
1754544671213,"SOL",3,19,79,3983
1754541071213,"SOL",4,24,96,4829
1754537471213,"SOL",5,27,110,5534
1754533871213,"SOL",5,25,100,5025
1754530271213,"SOL",4,22,88,4401
1754526671213,"SOL",4,20,81,4086
1754523071213,"SOL",5,28,113,5692
1754519471213,"SOL",5,27,108,5418
1754515871213,"SOL",4,23,95,4778
1754512271213,"SOL",5,29,119,5966
1754508671213,"SOL",5,26,105,5268
1754505071213,"SOL",3,19,78,3916
1754501471213,"SOL",5,27,109,5476
1754497871213,"SOL",5,29,116,5808
1754494271213,"SOL",5,26,106,5339
1754490671213,"SOL",5,29,116,5820
1754487071213,"SOL",5,28,112,5613
1754483471213,"SOL",4,20,82,4110
1754479871213,"SOL",5,27,111,5567
1754476271213,"SOL",4,23,95,4770
1754472671213,"SOL",5,27,110,5524
1754469071213,"SOL",4,24,99,4973
1754465471213,"SOL",4,24,96,4831
1754461871213,"SOL",5,26,104,5249
1754458271213,"SOL",4,24,97,4852
1754454671213,"SOL",5,29,119,5970
1754451071213,"SOL",4,21,85,4295
1754447471213,"SOL",4,24,97,4880
1754443871213,"SOL",5,29,117,5893
1754440271213,"SOL",5,28,113,5677
1754436671213,"SOL",5,28,114,5727
1754433071213,"SOL",5,29,119,5961
1754429471213,"SOL",6,30,120,6029
1754425871213,"SOL",3,19,77,3866
1754422271213,"SOL",4,24,97,4889
1754418671213,"SOL",5,25,103,5155
1754415071213,"SOL",5,28,113,5662
1754411471213,"SOL",5,27,108,5411
1754407871213,"SOL",5,26,106,5305
1754404271213,"SOL",4,20,83,4171
1754400671213,"SOL",4,20,83,4153
1754397071213,"SOL",5,28,112,5648
1754393471213,"SOL",5,28,114,5729
1754389871213,"SOL",5,29,117,5858
1754386271213,"SOL",5,27,109,5458
1754382671213,"SOL",4,21,85,4277
1754379071213,"SOL",4,23,93,4693
1754375471213,"SOL",5,25,101,5067
1754371871213,"SOL",6,30,121,6095
1754368271213,"SOL",4,24,98,4926
1754364671213,"SOL",5,26,104,5213
1754361071213,"SOL",3,19,79,3966
1754357471213,"SOL",4,22,90,4526
1754353871213,"SOL",5,26,107,5356
1754350271213,"SOL",4,23,95,4758
1754346671213,"SOL",4,23,92,4636
1754343071213,"SOL",4,21,86,4349
1754339471213,"SOL",6,31,124,6213
1754335871213,"SOL",5,26,107,5364
1754332271213,"SOL",5,25,101,5068
1754328671213,"SOL",5,29,116,5834
1754325071213,"SOL",5,25,102,5106
1754321471213,"SOL",4,24,97,4861
1754317871213,"SOL",5,26,105,5295
1754314271213,"SOL",5,28,114,5732
1754310671213,"SOL",6,30,123,6153
1754307071213,"SOL",4,21,84,4203
1754303471213,"SOL",4,22,88,4406
1754299871213,"SOL",4,24,99,4953
1754296271213,"SOL",5,29,118,5932
1754292671213,"SOL",5,25,102,5136
1754289071213,"SOL",6,30,123,6199
1754285471213,"SOL",5,26,107,5398
1754281871213,"SOL",4,21,85,4265
1754278271213,"SOL",5,27,110,5523
1754274671213,"SOL",3,19,79,3993
1754271071213,"SOL",5,28,115,5779
1754267471213,"SOL",4,20,80,4031
1754263871213,"SOL",4,24,96,4817
1754260271213,"SOL",4,24,97,4891
1754256671213,"SOL",6,30,121,6069
1754253071213,"SOL",4,24,98,4927
1754249471213,"SOL",4,24,98,4941
1754245871213,"SOL",5,28,113,5681
1754242271213,"SOL",4,20,80,4013
1754238671213,"SOL",4,24,99,4984
1754235071213,"SOL",4,22,88,4403
1754231471213,"SOL",4,21,84,4215
1754227871213,"SOL",4,23,94,4713
1754224271213,"SOL",6,31,124,6212
1754220671213,"SOL",3,19,78,3926
1754217071213,"SOL",3,18,75,3795
1754213471213,"SOL",6,30,121,6056
1754209871213,"SOL",5,28,115,5796
1754206271213,"SOL",4,20,81,4054
1754202671213,"SOL",3,18,75,3755
1754199071213,"SOL",5,28,113,5671
1754195471213,"SOL",4,20,81,4057
1754191871213,"SOL",5,28,113,5654
1754188271213,"SOL",5,26,106,5325
1754184671213,"SOL",4,20,82,4132
1754181071213,"SOL",5,26,105,5297
1754177471213,"SOL",5,27,110,5516
1754173871213,"SOL",5,26,104,5218
1754170271213,"SOL",4,20,83,4185
1754166671213,"SOL",4,24,96,4819
1754163071213,"SOL",4,22,91,4572
1754159471213,"SOL",5,29,118,5929
1754155871213,"SOL",5,27,109,5486
1754152271213,"SOL",5,25,103,5152
